ordem;arquivo;severidade;classificacao;acao_recomendada;motivo_principal
1;202606030001_projetos_01_tabela_projetos.sql;CRITICA;DRIFT_E_BASELINE_AUSENTE;RECONSTRUIR_NO_BASELINE;Depende de empresas clientes e auth e diverge do projetos restaurado em coluna e estados
2;202606030002_projetos_02_tabela_itens.sql;CRITICA;ORDEM_INVALIDA;REORDENAR_NO_BASELINE;Referencia itens_industriais criada somente na migration 32
3;202606030003_projetos_03_rls_tenant_soft_delete.sql;ALTA;DEPENDENCIA_AUSENTE_NAO_IDEMPOTENTE;RECONSTRUIR_NO_BASELINE;Depende de empresa_atual_id e set_updated_at ausentes e recriacao de trigger e policy falha
4;202606030004_projetos_04_indices_performance.sql;BAIXA;APROVEITAVEL;PRESERVAR_LOGICA;Indices usam IF NOT EXISTS e existem no restaurado
5;202606030005_configuracoes_numeracao.sql;ALTA;DEPENDENCIA_AUSENTE_NAO_IDEMPOTENTE;RECONSTRUIR_NO_BASELINE;Tabela aproveitavel mas depende da fundacao e recria trigger e policies
6;202606030006_configuracoes_producao.sql;ALTA;DEPENDENCIA_AUSENTE_NAO_IDEMPOTENTE;RECONSTRUIR_NO_BASELINE;Tabela aproveitavel mas depende da fundacao e recria trigger e policies
7;202606040001_estoque_01_materias_primas.sql;MEDIA;DEPENDENCIA_AUSENTE;RECONSTRUIR_NO_BASELINE;Estrutura presente mas depende de empresas e auth sem migration local
8;202606040002_estoque_02_saldos_movimentacoes.sql;ALTA;MODELO_LEGADO_PARCIAL;REVISAR_NO_BASELINE;Mistura reserva e liberacao com movimentos fisicos e duplica o conceito de movimentacoes_estoque
9;202606040003_estoque_03_requisicoes_compra.sql;CRITICA;ESTADOS_E_RELACIONAMENTOS_INCOMPATIVEIS;SUBSTITUIR_CONFORME_ET001;Estados divergem dos oficiais e falta vinculo com necessidade e decisao PCP
10;202606040004_estoque_04_triggers_rls_base.sql;ALTA;DEPENDENCIA_AUSENTE_NAO_IDEMPOTENTE;RECONSTRUIR_NO_BASELINE;Depende de funcoes ausentes e recria triggers e policies
11;202606040005_estoque_05_policies_requisicoes.sql;ALTA;NAO_IDEMPOTENTE;RECONSTRUIR_NO_BASELINE;Policies existem mas comandos CREATE POLICY falham em reaplicacao
12;202606040006_estoque_06_indices.sql;BAIXA;APROVEITAVEL;PRESERVAR_LOGICA;Indices idempotentes e presentes
13;202606040007_estoque_07_consumos_internos.sql;CRITICA;SEMANTICA_LEGADA;SUBSTITUIR_CONFORME_ET001;Consumo nao se vincula obrigatoriamente a reserva e necessidade
14;202606050001_consumos_internos_02_funcao.sql;CRITICA;SUBSTITUIDA_COM_ASSINATURA_ANTIGA;RETIRAR_DO_REPLAY_FINAL;Versao sem p_of_id e consumo direto de saldo
15;202606050002_consumos_internos_03_comentario_funcao.sql;ALTA;COMENTARIO_DE_ASSINATURA_ANTIGA;RETIRAR_DO_REPLAY_FINAL;Referencia overload antigo inexistente no banco restaurado
16;202606050003_requisicoes_compra_02_funcao.sql;CRITICA;SUBSTITUIDA_COM_ASSINATURA_ANTIGA;RETIRAR_DO_REPLAY_FINAL;Versao sem p_of_id e sem decisao PCP persistida
17;202606050004_decisao_material_01_funcao.sql;CRITICA;INCOMPATIVEL_COM_ARQUITETURA_1_0;SUBSTITUIR_CONFORME_ET001;Decide automaticamente e gera consumo ou compra sem decisao humana PCP
18;202606050005_decisao_material_02_comentarios.sql;ALTA;COMENTARIOS_DE_MODELO_LEGADO;RETIRAR_DO_REPLAY_FINAL;Documenta assinaturas e fluxo substituidos
19;202606050006_decisao_material_03_view_operacional.sql;ALTA;VIEW_LEGADA_SEM_SECURITY_INVOKER;SUBSTITUIR_CONFORME_ET001;Resume consumo e compra sem entidades de necessidade decisao e reserva
20;202606050007_decisao_material_04_comentario_view.sql;MEDIA;COMENTARIO_DE_VIEW_LEGADA;SUBSTITUIR_COM_A_VIEW;Acompanha a view incompatível
21;202606050008_planejamento_compras_01_tabelas.sql;ALTA;APROVEITAVEL_PARCIAL;REMODELAR_RELACIONAMENTOS;Estrutura atual existe mas origens nao partem da necessidade e decisao normativas
22;202606050009_planejamento_compras_02_comentarios.sql;BAIXA;DOCUMENTAL;REVISAR_APOS_REMODELAGEM;Comentarios precisam acompanhar o modelo final
23;202606050010_planejamento_compras_03_triggers_rls.sql;ALTA;NAO_IDEMPOTENTE;RECONSTRUIR_NO_BASELINE;Recria trigger e policies sem protecao
24;202606050011_planejamento_compras_04_policies_origens.sql;ALTA;PARCIALMENTE_SUBSTITUIDA;CONSOLIDAR_POLICIES;Policy update_blocked e removida posteriormente pela migration 22
25;202606050012_planejamento_compras_05_indices.sql;BAIXA;APROVEITAVEL;PRESERVAR_LOGICA;Indices idempotentes presentes
26;202606050013_planejamento_compras_06_chave_industrial.sql;MEDIA;APROVEITAVEL_PARCIAL;INCORPORAR_NO_BASELINE;Colunas presentes mas devem acompanhar o relacionamento normativo
27;202606050014_planejamento_compras_07_dimensoes_origens.sql;MEDIA;APROVEITAVEL_PARCIAL;INCORPORAR_NO_BASELINE;Colunas presentes mas devem acompanhar o relacionamento normativo
28;202606050015_planejamento_compras_08_comentarios_chave.sql;BAIXA;DOCUMENTAL;PRESERVAR_SE_CONCEITO_MANTIDO;Comentarios sem efeito estrutural
29;202606050016_planejamento_compras_09_indices_chave.sql;BAIXA;APROVEITAVEL;PRESERVAR_LOGICA;Indices idempotentes presentes
30;202606050017_planejamento_compras_10_view_operacional.sql;MEDIA;SUBSTITUIDA;RETIRAR_DO_REPLAY_FINAL;Primeira de tres definicoes da mesma view
31;202606050018_planejamento_compras_11_comentario_view.sql;BAIXA;COMENTARIO_SUBSTITUIDO;RETIRAR_DO_REPLAY_FINAL;Descreve versao anterior da view
32;202606050019_planejamento_compras_12_view_sugestao.sql;MEDIA;SUBSTITUIDA;RETIRAR_DO_REPLAY_FINAL;Segunda definicao substituida pela migration 26
33;202606050020_planejamento_compras_13_comentarios_sugestao.sql;BAIXA;COMENTARIO_SUBSTITUIDO;RETIRAR_DO_REPLAY_FINAL;Descreve versao intermediaria da view
34;202606050021_planejamento_compras_14_compra_decidida.sql;MEDIA;APROVEITAVEL_PARCIAL;INCORPORAR_NO_MODELO_FINAL;Coluna presente mas decisao normativa deve ser entidade historica
35;202606050022_planejamento_compras_15_policy_update_origens.sql;MEDIA;SUBSTITUICAO_ATIVA;CONSOLIDAR_NO_BASELINE;Remove policy bloqueadora e cria a policy atual
36;202606050023_planejamento_compras_16_funcao_decisao.sql;ALTA;RPC_LEGADA;SUBSTITUIR_POR_DECISAO_PCP_TRANSACIONAL;Atualiza campos mutaveis e nao preserva historico de decisoes
37;202606050024_planejamento_compras_17_funcao_origem.sql;ALTA;RPC_LEGADA;REVISAR_COM_NECESSIDADES;Opera origem de planejamento sem cadeia normativa completa
38;202606050025_planejamento_compras_18_comentarios_funcoes.sql;BAIXA;DOCUMENTAL;ATUALIZAR_COM_RPCS_FINAIS;Comentarios sem efeito estrutural
39;202606050026_planejamento_compras_19_view_comprar.sql;ALTA;VIEW_ATUAL_SEM_SECURITY_INVOKER;RECRIAR_COM_SEGURANCA;Definicao final restaurada mas exposta sem security_invoker
40;202606050027_pedidos_compra_01_tabelas.sql;CRITICA;ESTADOS_E_RELACIONAMENTOS_INCOMPATIVEIS;REMODELAR_SUPRIMENTOS;Estados divergem dos oficiais e fornecedor e texto sem FK
41;202606050028_pedidos_compra_02_rls.sql;ALTA;NAO_IDEMPOTENTE;RECONSTRUIR_NO_BASELINE;Trigger e policies atuais falham em reaplicacao
42;202606050029_pedidos_compra_03_policies_itens.sql;ALTA;NAO_IDEMPOTENTE;RECONSTRUIR_NO_BASELINE;Policies atuais falham em reaplicacao
43;202606050030_pedidos_compra_04_funcao_gerar.sql;ALTA;RPC_LEGADA;REMODELAR_SUPRIMENTOS;Gera pedido no modelo sem fornecedor FK e sem estados oficiais
44;202606050031_pedidos_compra_05_indices_comentarios.sql;BAIXA;APROVEITAVEL;PRESERVAR_LOGICA;Indices idempotentes e comentarios presentes
45;202606050032_estrutura_bom_e_itens_industriais.sql;CRITICA;DRIFT_E_RLS_AUSENTE;RECONSTRUIR_ENGENHARIA;itens_industriais difere do restaurado e boms e bom_itens estao sem RLS
46;202606050033_ordens_fabricacao_e_integracao.sql;CRITICA;INCOMPATIVEL_COM_ARQUITETURA_1_0;SUBSTITUIR_MODELO_OF;Estados nao oficiais e ausencia de roteiro versao e necessidades
47;202606050034_of_numeracao_views.sql;ALTA;PARCIAL_E_VIEWS_INSEGURAS;RECONSTRUIR_PCP;Numeracao pode ser aproveitada mas views usam BOM direto e nao security_invoker
48;202606050035_of_criacao_consumo_views.sql;CRITICA;BLOQUEANTE_FUNCIONAL;RETIRAR_E_SUBSTITUIR;Criar OF consome estoque e gera requisicao automaticamente contra o ET001
49;202606050036_all_migrations_consolidated.sql;CRITICA;DUPLICADA_E_NAO_IDEMPOTENTE;RETIRAR_DO_CAMINHO_EXECUTAVEL;Repete migrations 32 a 35 e recria objetos sem protecao
50;202606050037_validation_check.sql;MEDIA;NAO_E_MIGRATION;MOVER_PARA_VALIDACOES;Script de diagnostico nao deve integrar o replay versionado
51;202606140001_fornecedores_01_cadastro_base.sql;ALTA;APROVEITAVEL_COM_DEPENDENCIAS;INCORPORAR_NO_BASELINE;Tabela atual coincide mas depende da fundacao ausente e recria trigger e policies
52;202606140002_fornecedores_02_grants_api.sql;ALTA;GRANT_NAO_VERIFICADO;VALIDAR_NO_REMOTO;Backup excluiu privilegios e rede impediu consulta nesta sessao
