schema_name,table_name,index_name,is_unique,is_primary,is_valid,definition
public,bom_itens,bom_itens_bom_id_idx,f,f,t,CREATE INDEX bom_itens_bom_id_idx ON public.bom_itens USING btree (bom_id)
public,bom_itens,bom_itens_componente_produto_id_idx,f,f,t,CREATE INDEX bom_itens_componente_produto_id_idx ON public.bom_itens USING btree (componente_produto_id)
public,bom_itens,bom_itens_materia_prima_id_idx,f,f,t,CREATE INDEX bom_itens_materia_prima_id_idx ON public.bom_itens USING btree (materia_prima_id)
public,bom_itens,bom_itens_pkey,t,t,t,CREATE UNIQUE INDEX bom_itens_pkey ON public.bom_itens USING btree (id)
public,boms,boms_pkey,t,t,t,CREATE UNIQUE INDEX boms_pkey ON public.boms USING btree (id)
public,boms,boms_produto_versao_uniq,t,f,t,"CREATE UNIQUE INDEX boms_produto_versao_uniq ON public.boms USING btree (empresa_id, produto_id, versao)"
public,clientes,clientes_ativo_idx,f,f,t,CREATE INDEX clientes_ativo_idx ON public.clientes USING btree (ativo)
public,clientes,clientes_cidade_idx,f,f,t,CREATE INDEX clientes_cidade_idx ON public.clientes USING btree (cidade)
public,clientes,clientes_cnpj_idx,f,f,t,CREATE INDEX clientes_cnpj_idx ON public.clientes USING btree (cnpj)
public,clientes,clientes_created_at_idx,f,f,t,CREATE INDEX clientes_created_at_idx ON public.clientes USING btree (created_at DESC)
public,clientes,clientes_created_by_idx,f,f,t,CREATE INDEX clientes_created_by_idx ON public.clientes USING btree (created_by)
public,clientes,clientes_deleted_at_idx,f,f,t,CREATE INDEX clientes_deleted_at_idx ON public.clientes USING btree (deleted_at)
public,clientes,clientes_deleted_by_idx,f,f,t,CREATE INDEX clientes_deleted_by_idx ON public.clientes USING btree (deleted_by)
public,clientes,clientes_email_idx,f,f,t,CREATE INDEX clientes_email_idx ON public.clientes USING btree (email)
public,clientes,clientes_empresa_ativo_deleted_at_idx,f,f,t,"CREATE INDEX clientes_empresa_ativo_deleted_at_idx ON public.clientes USING btree (empresa_id, ativo, deleted_at)"
public,clientes,clientes_empresa_codigo_idx,f,f,t,"CREATE INDEX clientes_empresa_codigo_idx ON public.clientes USING btree (empresa_id, nome)"
public,clientes,clientes_empresa_deleted_at_idx,f,f,t,"CREATE INDEX clientes_empresa_deleted_at_idx ON public.clientes USING btree (empresa_id, deleted_at)"
public,clientes,clientes_empresa_id_ativo_idx,f,f,t,"CREATE INDEX clientes_empresa_id_ativo_idx ON public.clientes USING btree (empresa_id, ativo)"
public,clientes,clientes_empresa_idx,f,f,t,CREATE INDEX clientes_empresa_idx ON public.clientes USING btree (empresa)
public,clientes,clientes_empresa_updated_at_idx,f,f,t,"CREATE INDEX clientes_empresa_updated_at_idx ON public.clientes USING btree (empresa_id, updated_at DESC)"
public,clientes,clientes_nome_idx,f,f,t,CREATE INDEX clientes_nome_idx ON public.clientes USING btree (nome)
public,clientes,clientes_pkey,t,t,t,CREATE UNIQUE INDEX clientes_pkey ON public.clientes USING btree (id)
public,clientes,clientes_updated_at_idx,f,f,t,CREATE INDEX clientes_updated_at_idx ON public.clientes USING btree (updated_at DESC)
public,consumos_internos,consumos_internos_empresa_data_idx,f,f,t,"CREATE INDEX consumos_internos_empresa_data_idx ON public.consumos_internos USING btree (empresa_id, data_movimentacao)"
public,consumos_internos,consumos_internos_material_idx,f,f,t,CREATE INDEX consumos_internos_material_idx ON public.consumos_internos USING btree (materia_prima_id)
public,consumos_internos,consumos_internos_of_id_idx,f,f,t,CREATE INDEX consumos_internos_of_id_idx ON public.consumos_internos USING btree (of_id)
public,consumos_internos,consumos_internos_of_numero_idx,f,f,t,CREATE INDEX consumos_internos_of_numero_idx ON public.consumos_internos USING btree (of_numero)
public,consumos_internos,consumos_internos_pkey,t,t,t,CREATE UNIQUE INDEX consumos_internos_pkey ON public.consumos_internos USING btree (id)
public,consumos_internos,consumos_internos_projeto_idx,f,f,t,CREATE INDEX consumos_internos_projeto_idx ON public.consumos_internos USING btree (projeto_id)
public,credenciais,credenciais_pkey,t,t,t,CREATE UNIQUE INDEX credenciais_pkey ON public.credenciais USING btree (id)
public,credenciais,credenciais_usuario_responsavel_idx,f,f,t,CREATE INDEX credenciais_usuario_responsavel_idx ON public.credenciais USING btree (usuario_responsavel)
public,empresas,empresas_ativo_idx,f,f,t,CREATE INDEX empresas_ativo_idx ON public.empresas USING btree (ativo)
public,empresas,empresas_codigo_key,t,f,t,CREATE UNIQUE INDEX empresas_codigo_key ON public.empresas USING btree (codigo)
public,empresas,empresas_created_by_idx,f,f,t,CREATE INDEX empresas_created_by_idx ON public.empresas USING btree (created_by)
public,empresas,empresas_pkey,t,t,t,CREATE UNIQUE INDEX empresas_pkey ON public.empresas USING btree (id)
public,empresas,empresas_slug_key,t,f,t,CREATE UNIQUE INDEX empresas_slug_key ON public.empresas USING btree (slug)
public,estoque_movimentacoes,estoque_movimentacoes_empresa_material_idx,f,f,t,"CREATE INDEX estoque_movimentacoes_empresa_material_idx ON public.estoque_movimentacoes USING btree (empresa_id, materia_prima_id)"
public,estoque_movimentacoes,estoque_movimentacoes_of_id_idx,f,f,t,CREATE INDEX estoque_movimentacoes_of_id_idx ON public.estoque_movimentacoes USING btree (of_id)
public,estoque_movimentacoes,estoque_movimentacoes_of_numero_idx,f,f,t,CREATE INDEX estoque_movimentacoes_of_numero_idx ON public.estoque_movimentacoes USING btree (of_numero)
public,estoque_movimentacoes,estoque_movimentacoes_pkey,t,t,t,CREATE UNIQUE INDEX estoque_movimentacoes_pkey ON public.estoque_movimentacoes USING btree (id)
public,estoque_movimentacoes,estoque_movimentacoes_projeto_idx,f,f,t,CREATE INDEX estoque_movimentacoes_projeto_idx ON public.estoque_movimentacoes USING btree (projeto_id)
public,estoque_saldos,estoque_saldos_empresa_material_idx,f,f,t,"CREATE INDEX estoque_saldos_empresa_material_idx ON public.estoque_saldos USING btree (empresa_id, materia_prima_id)"
public,estoque_saldos,estoque_saldos_material_local_uniq,t,f,t,"CREATE UNIQUE INDEX estoque_saldos_material_local_uniq ON public.estoque_saldos USING btree (empresa_id, materia_prima_id, local_estoque)"
public,estoque_saldos,estoque_saldos_pkey,t,t,t,CREATE UNIQUE INDEX estoque_saldos_pkey ON public.estoque_saldos USING btree (id)
public,fornecedores,fornecedores_empresa_cnpj_idx,f,f,t,"CREATE INDEX fornecedores_empresa_cnpj_idx ON public.fornecedores USING btree (empresa_id, cnpj)"
public,fornecedores,fornecedores_empresa_idx,f,f,t,CREATE INDEX fornecedores_empresa_idx ON public.fornecedores USING btree (empresa_id)
public,fornecedores,fornecedores_empresa_nome_idx,f,f,t,"CREATE INDEX fornecedores_empresa_nome_idx ON public.fornecedores USING btree (empresa_id, nome)"
public,fornecedores,fornecedores_pkey,t,t,t,CREATE UNIQUE INDEX fornecedores_pkey ON public.fornecedores USING btree (id)
public,funcionarios,funcionarios_ativo_idx,f,f,t,CREATE INDEX funcionarios_ativo_idx ON public.funcionarios USING btree (ativo)
public,funcionarios,funcionarios_codigo_idx,f,f,t,CREATE INDEX funcionarios_codigo_idx ON public.funcionarios USING btree (codigo)
public,funcionarios,funcionarios_created_by_idx,f,f,t,CREATE INDEX funcionarios_created_by_idx ON public.funcionarios USING btree (created_by)
public,funcionarios,funcionarios_deleted_at_idx,f,f,t,CREATE INDEX funcionarios_deleted_at_idx ON public.funcionarios USING btree (deleted_at)
public,funcionarios,funcionarios_deleted_by_idx,f,f,t,CREATE INDEX funcionarios_deleted_by_idx ON public.funcionarios USING btree (deleted_by)
public,funcionarios,funcionarios_empresa_ativo_deleted_at_idx,f,f,t,"CREATE INDEX funcionarios_empresa_ativo_deleted_at_idx ON public.funcionarios USING btree (empresa_id, ativo, deleted_at)"
public,funcionarios,funcionarios_empresa_codigo_idx,f,f,t,"CREATE INDEX funcionarios_empresa_codigo_idx ON public.funcionarios USING btree (empresa_id, codigo)"
public,funcionarios,funcionarios_empresa_codigo_unique_idx,t,f,t,"CREATE UNIQUE INDEX funcionarios_empresa_codigo_unique_idx ON public.funcionarios USING btree (empresa_id, codigo)"
public,funcionarios,funcionarios_empresa_id_idx,f,f,t,CREATE INDEX funcionarios_empresa_id_idx ON public.funcionarios USING btree (empresa_id)
public,funcionarios,funcionarios_empresa_setor_idx,f,f,t,"CREATE INDEX funcionarios_empresa_setor_idx ON public.funcionarios USING btree (empresa_id, setor)"
public,funcionarios,funcionarios_empresa_updated_at_idx,f,f,t,"CREATE INDEX funcionarios_empresa_updated_at_idx ON public.funcionarios USING btree (empresa_id, updated_at DESC)"
public,funcionarios,funcionarios_pkey,t,t,t,CREATE UNIQUE INDEX funcionarios_pkey ON public.funcionarios USING btree (id)
public,funcionarios,funcionarios_setor_idx,f,f,t,CREATE INDEX funcionarios_setor_idx ON public.funcionarios USING btree (setor)
public,funcionarios,funcionarios_tecnologia_aplicada_id_idx,f,f,t,CREATE INDEX funcionarios_tecnologia_aplicada_id_idx ON public.funcionarios USING btree (tecnologia_aplicada_id)
public,funcionarios,funcionarios_updated_at_idx,f,f,t,CREATE INDEX funcionarios_updated_at_idx ON public.funcionarios USING btree (updated_at DESC)
public,grupos_recursos,grupos_recursos_ativo_idx,f,f,t,CREATE INDEX grupos_recursos_ativo_idx ON public.grupos_recursos USING btree (ativo)
public,grupos_recursos,grupos_recursos_capacidade_total_idx,f,f,t,CREATE INDEX grupos_recursos_capacidade_total_idx ON public.grupos_recursos USING btree (capacidade_total)
public,grupos_recursos,grupos_recursos_codigo_key,t,f,t,CREATE UNIQUE INDEX grupos_recursos_codigo_key ON public.grupos_recursos USING btree (codigo)
public,grupos_recursos,grupos_recursos_created_by_idx,f,f,t,CREATE INDEX grupos_recursos_created_by_idx ON public.grupos_recursos USING btree (created_by)
public,grupos_recursos,grupos_recursos_deleted_at_idx,f,f,t,CREATE INDEX grupos_recursos_deleted_at_idx ON public.grupos_recursos USING btree (deleted_at)
public,grupos_recursos,grupos_recursos_deleted_by_idx,f,f,t,CREATE INDEX grupos_recursos_deleted_by_idx ON public.grupos_recursos USING btree (deleted_by)
public,grupos_recursos,grupos_recursos_disponibilidade_atual_idx,f,f,t,CREATE INDEX grupos_recursos_disponibilidade_atual_idx ON public.grupos_recursos USING btree (disponibilidade_atual)
public,grupos_recursos,grupos_recursos_empresa_ativo_deleted_at_idx,f,f,t,"CREATE INDEX grupos_recursos_empresa_ativo_deleted_at_idx ON public.grupos_recursos USING btree (empresa_id, ativo, deleted_at)"
public,grupos_recursos,grupos_recursos_empresa_codigo_idx,f,f,t,"CREATE INDEX grupos_recursos_empresa_codigo_idx ON public.grupos_recursos USING btree (empresa_id, codigo)"
public,grupos_recursos,grupos_recursos_empresa_deleted_at_idx,f,f,t,"CREATE INDEX grupos_recursos_empresa_deleted_at_idx ON public.grupos_recursos USING btree (empresa_id, deleted_at)"
public,grupos_recursos,grupos_recursos_empresa_updated_at_idx,f,f,t,"CREATE INDEX grupos_recursos_empresa_updated_at_idx ON public.grupos_recursos USING btree (empresa_id, updated_at DESC)"
public,grupos_recursos,grupos_recursos_nome_idx,f,f,t,CREATE INDEX grupos_recursos_nome_idx ON public.grupos_recursos USING btree (nome)
public,grupos_recursos,grupos_recursos_pkey,t,t,t,CREATE UNIQUE INDEX grupos_recursos_pkey ON public.grupos_recursos USING btree (id)
public,grupos_recursos,grupos_recursos_setor_idx,f,f,t,CREATE INDEX grupos_recursos_setor_idx ON public.grupos_recursos USING btree (setor)
public,grupos_recursos,grupos_recursos_updated_at_idx,f,f,t,CREATE INDEX grupos_recursos_updated_at_idx ON public.grupos_recursos USING btree (updated_at DESC)
public,itens_industriais,itens_industriais_ativo_idx,f,f,t,CREATE INDEX itens_industriais_ativo_idx ON public.itens_industriais USING btree (ativo)
public,itens_industriais,itens_industriais_codigo_idx,f,f,t,CREATE INDEX itens_industriais_codigo_idx ON public.itens_industriais USING btree (codigo)
public,itens_industriais,itens_industriais_deleted_at_idx,f,f,t,CREATE INDEX itens_industriais_deleted_at_idx ON public.itens_industriais USING btree (deleted_at)
public,itens_industriais,itens_industriais_empresa_ativo_deleted_idx,f,f,t,"CREATE INDEX itens_industriais_empresa_ativo_deleted_idx ON public.itens_industriais USING btree (empresa_id, ativo, deleted_at)"
public,itens_industriais,itens_industriais_empresa_codigo_idx,f,f,t,"CREATE INDEX itens_industriais_empresa_codigo_idx ON public.itens_industriais USING btree (empresa_id, codigo)"
public,itens_industriais,itens_industriais_empresa_codigo_unique_idx,t,f,t,"CREATE UNIQUE INDEX itens_industriais_empresa_codigo_unique_idx ON public.itens_industriais USING btree (empresa_id, codigo)"
public,itens_industriais,itens_industriais_empresa_id_idx,f,f,t,CREATE INDEX itens_industriais_empresa_id_idx ON public.itens_industriais USING btree (empresa_id)
public,itens_industriais,itens_industriais_empresa_tipo_item_idx,f,f,t,"CREATE INDEX itens_industriais_empresa_tipo_item_idx ON public.itens_industriais USING btree (empresa_id, tipo_item)"
public,itens_industriais,itens_industriais_pkey,t,t,t,CREATE UNIQUE INDEX itens_industriais_pkey ON public.itens_industriais USING btree (id)
public,itens_industriais,itens_industriais_tipo_item_idx,f,f,t,CREATE INDEX itens_industriais_tipo_item_idx ON public.itens_industriais USING btree (tipo_item)
public,itens_industriais,itens_industriais_unidade_idx,f,f,t,CREATE INDEX itens_industriais_unidade_idx ON public.itens_industriais USING btree (unidade)
public,itens_industriais,itens_industriais_updated_at_idx,f,f,t,CREATE INDEX itens_industriais_updated_at_idx ON public.itens_industriais USING btree (updated_at DESC)
public,materias_primas,materias_primas_codigo_empresa_uniq,t,f,t,"CREATE UNIQUE INDEX materias_primas_codigo_empresa_uniq ON public.materias_primas USING btree (empresa_id, codigo)"
public,materias_primas,materias_primas_codigo_idx,f,f,t,CREATE INDEX materias_primas_codigo_idx ON public.materias_primas USING btree (codigo)
public,materias_primas,materias_primas_descricao_idx,f,f,t,CREATE INDEX materias_primas_descricao_idx ON public.materias_primas USING btree (descricao)
public,materias_primas,materias_primas_empresa_id_idx,f,f,t,CREATE INDEX materias_primas_empresa_id_idx ON public.materias_primas USING btree (empresa_id)
public,materias_primas,materias_primas_pkey,t,t,t,CREATE UNIQUE INDEX materias_primas_pkey ON public.materias_primas USING btree (id)
public,movimentacoes_estoque,movimentacoes_estoque_ativo_idx,f,f,t,CREATE INDEX movimentacoes_estoque_ativo_idx ON public.movimentacoes_estoque USING btree (ativo)
public,movimentacoes_estoque,movimentacoes_estoque_created_at_idx,f,f,t,CREATE INDEX movimentacoes_estoque_created_at_idx ON public.movimentacoes_estoque USING btree (created_at DESC)
public,movimentacoes_estoque,movimentacoes_estoque_deleted_at_idx,f,f,t,CREATE INDEX movimentacoes_estoque_deleted_at_idx ON public.movimentacoes_estoque USING btree (deleted_at)
public,movimentacoes_estoque,movimentacoes_estoque_documento_idx,f,f,t,CREATE INDEX movimentacoes_estoque_documento_idx ON public.movimentacoes_estoque USING btree (documento_referencia)
public,movimentacoes_estoque,movimentacoes_estoque_empresa_ativo_deleted_idx,f,f,t,"CREATE INDEX movimentacoes_estoque_empresa_ativo_deleted_idx ON public.movimentacoes_estoque USING btree (empresa_id, ativo, deleted_at)"
public,movimentacoes_estoque,movimentacoes_estoque_empresa_created_idx,f,f,t,"CREATE INDEX movimentacoes_estoque_empresa_created_idx ON public.movimentacoes_estoque USING btree (empresa_id, created_at DESC)"
public,movimentacoes_estoque,movimentacoes_estoque_empresa_id_idx,f,f,t,CREATE INDEX movimentacoes_estoque_empresa_id_idx ON public.movimentacoes_estoque USING btree (empresa_id)
public,movimentacoes_estoque,movimentacoes_estoque_empresa_item_idx,f,f,t,"CREATE INDEX movimentacoes_estoque_empresa_item_idx ON public.movimentacoes_estoque USING btree (empresa_id, item_id)"
public,movimentacoes_estoque,movimentacoes_estoque_empresa_tipo_idx,f,f,t,"CREATE INDEX movimentacoes_estoque_empresa_tipo_idx ON public.movimentacoes_estoque USING btree (empresa_id, tipo_movimento)"
