tipo_objeto,objeto,classificacao,destino_ou_acao,justificativa
tabela,bom_itens,TRANSFORMAR,bom_itens definitivo,"Preservar composição; corrigir RLS, tenant e vínculo com identidade técnica"
tabela,boms,TRANSFORMAR,boms definitivo,"Preservar BOM versionada; adicionar governança de revisão/liberação e RLS"
tabela,clientes,TRANSFORMAR,clientes definitivo,"Cadastro útil; substituir policies críticas e garantir tenant"
tabela,consumos_internos,TRANSFORMAR,consumos_materiais ou contrato equivalente,"Representar apenas consumo físico e ligar reserva, necessidade e OF"
tabela,credenciais,REMOVER,não integrar baseline,"Gestão de segredos não pertence à arquitetura industrial e possui risco elevado"
tabela,empresas,TRANSFORMAR,empresas definitivo,"Preservar identidade empresarial; reforçar estados, auditoria e segurança"
tabela,estoque_movimentacoes,TRANSFORMAR,movimentos físicos oficiais,"Remover reserva/liberação dos tipos físicos e consolidar razão de estoque"
tabela,estoque_saldos,TRANSFORMAR,estoque_saldos definitivo,"Preservar saldo físico/reservado/livre com atualização transacional"
tabela,fornecedores,TRANSFORMAR,fornecedores definitivo,"Cadastro útil; alinhar classificações e vínculo obrigatório dos pedidos"
tabela,funcionarios,TRANSFORMAR,colaboradores definitivo,"Alinhar terminologia e relações produtivas sem incorporar funções de RH"
tabela,grupos_recursos,TRANSFORMAR,grupos_recursos definitivo,"Preservar agrupamento de recursos sem confundir com grupos de tecnologias"
tabela,itens_industriais,TRANSFORMAR,itens_industriais definitivo,"Tornar PN identidade técnica única e eliminar duplicações"
tabela,materias_primas,TRANSFORMAR,materias_primas definitivo,"Preservar unidade oficial e identidade de material conforme Estudo 001"
tabela,movimentacoes_estoque,SUBSTITUIR,estoque_movimentacoes definitivo,"Segundo razão de estoque concorrente; consolidar em uma única origem"
tabela,numeracao_configuracoes,TRANSFORMAR,numeracao_configuracoes definitivo,"Preservar numeração por empresa e ampliar entidades normativas"
tabela,ordens_fabricacao,TRANSFORMAR,ordens_fabricacao definitivo,"Adicionar roteiro versionado, estados oficiais e impedir atendimento automático"
tabela,pedido_compra_itens,TRANSFORMAR,pedido_compra_itens definitivo,"Preservar itens; reforçar origem rastreável e integridade multiempresa"
tabela,pedidos_compra,TRANSFORMAR,pedidos_compra definitivo,"Estados oficiais e FK obrigatória para fornecedor"
tabela,planejamento_compra_origens,TRANSFORMAR,planejamento_compra_origens definitivo,"Preservar consolidação; ligar à cadeia necessidade/decisão/requisição"
tabela,planejamentos_compra,TRANSFORMAR,planejamentos_compra definitivo,"Preservar responsabilidade sem assumir decisão PCP"
tabela,producao_configuracoes,TRANSFORMAR,configuracoes operacionais definitivas,"Preservar parâmetros válidos e separar configurações por responsabilidade"
tabela,profiles,REMOVER,public.usuarios,"Eliminar segunda fonte de empresa, papel e permissão"
tabela,projeto_itens,TRANSFORMAR,projeto_itens definitivo,"Preservar item de projeto sem duplicar PN, material ou revisão"
tabela,projetos,TRANSFORMAR,projetos definitivo,"Aplicar Estados Oficiais e passagem comercial/industrial rastreável"
tabela,recursos_produtivos,TRANSFORMAR,recursos_produtivos definitivo,"Preservar cadastro; alinhar tecnologia, capacidade e RLS"
tabela,requisicao_compra_itens,TRANSFORMAR,requisicao_compra_itens definitivo,"Adicionar necessidade e decisão de origem com proteção de duplicidade"
tabela,requisicoes_compra,TRANSFORMAR,requisicoes_compra definitivo,"Aplicar estados oficiais e origem industrial rastreável"
tabela,tecnologias_aplicadas,SUBSTITUIR,grupos_tecnologias e tecnologias,"Adequar ao contrato nominal e relacional do Estudo Técnico 001"
tabela,usuarios,TRANSFORMAR,public.usuarios como autoridade única,"Consolidar empresa, papel, permissões, atividade e vínculo auth"
view,clientes_ativos,REMOVER,consulta protegida na tabela,"View genérica de soft delete não deve ampliar superfície de autorização"
view,funcionarios_ativos,REMOVER,consulta protegida na tabela,"Será absorvida pelo contrato de colaboradores"
view,grupos_recursos_ativos,REMOVER,consulta protegida na tabela,"Duplicação de leitura sem responsabilidade de domínio"
view,itens_industriais_ativos,REMOVER,consulta protegida na tabela,"Duplicação de leitura; filtros devem respeitar RLS"
view,movimentacoes_estoque_ativas,REMOVER,razão de estoque consolidada,"Depende da tabela de movimentação substituída"
view,recursos_produtivos_ativos,REMOVER,consulta protegida na tabela,"Duplicação de leitura sem contrato próprio"
view,saldo_estoque_atual,SUBSTITUIR,view de saldo oficial,"Reconstruir sobre a única razão de estoque"
view,tecnologias_aplicadas_ativas,REMOVER,novo cadastro de tecnologias,"Depende da tabela substituída"
view,vw_decisao_material_of,SUBSTITUIR,view baseada em decisões persistidas,"Hoje infere decisão a partir de consumo/requisição"
view,vw_demanda_bom_of,SUBSTITUIR,view de necessidades persistidas,"BOM não é a origem normativa isolada da necessidade"
view,vw_demanda_consumo_compra,SUBSTITUIR,view de atendimento da necessidade,"Hoje mistura cálculo, consumo e compra"
view,vw_demanda_estoque,SUBSTITUIR,view de disponibilidade por necessidade,"Reconstruir sobre Roteiro, Necessidade e Reserva"
view,vw_of_consumo_detalhado,SUBSTITUIR,view de consumo físico rastreável,"Reconstruir com reserva e consumo separados"
view,vw_of_fluxo_industrial,SUBSTITUIR,view de fluxo oficial da OF,"Estados e eventos atuais não representam o fluxo normativo"
view,vw_of_fluxo_operacional,SUBSTITUIR,view operacional da OF,"Reconstruir sobre entidades definitivas"
view,vw_planejamento_compras_operacional,TRANSFORMAR,view segura de planejamento,"Lógica aproveitável; origem e segurança devem ser corrigidas"
funcao,atualizar_planejamento_compra_decisao,TRANSFORMAR,RPC transacional definitiva,"Preservar ação explícita com autorização e idempotência"
funcao,criar_ordem_fabricacao_operacional,SUBSTITUIR,RPC de criação de OF sem atendimento automático,"Função atual consome/reserva/requisita durante criação"
funcao,definir_planejamento_compra_origem,TRANSFORMAR,RPC transacional definitiva,"Preservar decisão de inclusão com rastreabilidade"
funcao,empresa_atual_id,TRANSFORMAR,resolvedor exclusivo por public.usuarios,"Remover fallback e validar usuário/empresa ativos"
funcao,gerar_numero_entidade,TRANSFORMAR,gerador transacional por empresa,"Ampliar cobertura e reforçar concorrência"
funcao,gerar_pedido_compra_rascunho,TRANSFORMAR,RPC de pedido conforme estados oficiais,"Preservar geração; corrigir estado, fornecedor e origem"
funcao,gerar_slug_empresa_unico,TRANSFORMAR,função utilitária segura,"Revalidar concorrência, grants e search_path"
funcao,handle_new_auth_user,SUBSTITUIR,provisionamento administrativo controlado,"Metadata do usuário não pode escolher tenant ou papel"
funcao,normalizar_slug_empresa,PRESERVAR,função utilitária imutável,"Responsabilidade compatível; recriar com schema qualificado"
funcao,preparar_empresa_saas,TRANSFORMAR,provisionamento transacional controlado,"Preservar bootstrap sem defaults inseguros"
funcao,processar_necessidade_material,SUBSTITUIR,RPCs gerar_necessidades e registrar_decisao_pcp,"Decisão automática viola o Livro Mestre"
funcao,proximo_codigo_empresa,TRANSFORMAR,gerador transacional por empresa,"Preservar finalidade e corrigir segurança/concorrência"
funcao,registrar_consumo_interno,TRANSFORMAR,RPC de consumo físico,"Separar reserva e consumo e exigir rastreabilidade"
funcao,registrar_requisicao_compra_material,TRANSFORMAR,RPC derivada de decisão PCP,"Exigir necessidade, decisão e idempotência"
funcao,restore_operacional,REMOVER,RPCs explícitas por entidade,"Função genérica privilegiada amplia superfície e oculta regras"
funcao,set_atualizado_em,REMOVER,set_updated_at único,"Duplicação de responsabilidade técnica"
funcao,set_empresa_id_from_usuario,TRANSFORMAR,imposição de tenant por public.usuarios,"Ignorar empresa fornecida pelo chamador"
funcao,set_ordem_fabricacao_numero,TRANSFORMAR,gerador de número oficial da OF,"Alinhar numeração e concorrência"
funcao,set_updated_at,PRESERVAR,trigger utilitário único,"Responsabilidade técnica simples; recriar com segurança"
funcao,soft_delete_operacional,REMOVER,RPCs explícitas por entidade,"SQL dinâmico genérico não deve substituir contratos de domínio"
funcao,usuario_e_admin,SUBSTITUIR,verificação de permissão por public.usuarios,"Admin booleano não deve ignorar tenant ou ser segunda fonte"
funcao,usuario_empresa_atual,TRANSFORMAR,leitura segura do contexto oficial,"Usar exclusivamente public.usuarios"
funcao,validar_movimentacao_estoque,TRANSFORMAR,validador da razão física consolidada,"Alinhar tipos, unidade, origem e tenant"
